,description,title,salary,company,location,class,days_before
0,Work with a leading business to continue to build out their Machine Learning practice as they capitalise on a massive period of growth.,Machine Learning Engineer,$150 - $160k + super + benefits,TheDriveGroup,Sydney NSW,Information & Communication Technology,5d ago
1,Looking for exceptional Machine Learning Engineers for an ecommerce Tech company - Sydney base,Machine Learning Engineer,$220k - $270k inc. Super (Excluding Equity),Charterhouse,Sydney NSW,Information & Communication Technology,5d ago
2,"Picture this… you, working on software that transforms images of the world into actionable insights. Cool right? Click for more.",Machine Learning Engineer,"$120,000 - $140,000 + Bonus",The Onset,Sydney NSW,Information & Communication Technology,21h ago
3,We have an opportunity for a Junior Machine Learning Engineer to join the team at our Sydney office.,Junior Machine Learning Engineer,NA,Stockland,Sydney NSW,Information & Communication Technology,6d ago
4,The UTS Data Science Institute invites applications for TWO 3.5 years fully funded PhD Research Studentships,PhD Studentships in Automated and Transparent Machine Learning,NA,University of Technology Sydney,Sydney NSW,Education & Training,15h ago
5,"Join our quantitative trading team and build models for high frequency asset price prediction, analyse the resulting trades for price prediction.",Machine Learning Data Scientist,NA,Susquehanna Pacific Pty Ltd,Sydney NSW,Science & Technology,8d ago
6,Senior Data Engineer/Machine Learning | Permanent Position | Sydney Based,Senior Data Engineer/Machine Learning,"$135,000 - $165,000 (Incl. Super)",PRA,Sydney NSW,Information & Communication Technology,2d ago
7,"Join a fantastic team within a challenging environment, having access to cutting edge technology and continue career development and growth.",Machine Learning Engineer,Up to $900 incl super,Correlate Resources,Sydney NSW,Information & Communication Technology,13d ago
8,CPB Contractor's is seeking an enthusiastic Data Science to support the HR strategic and annual business plans at CPB!,Data Scientist,NA,CPB Contractors Pty Limited,North Sydney,Science & Technology,2d ago
9,"Developing and managing ML/AI systems. Experience on modern cloud-based architectures and APIs using Python, SQL, Data Engineer.",AI Engineer,NA,Pearson Australia,Sydney NSW,Information & Communication Technology,22h ago
10,"CORRELATE RESOURCES : Your trusted Data Analytics Recruitment Partner. APPLY NOW for exclusive opportunities, market insights & ongoing career support",Data Scientist,NA,Correlate Resources,Sydney NSW,Science & Technology,8d ago
11,#4 Best Place to work in Australia. Large Public & Commercial Clients. WFH & Flexible working hours. Collaborative and motivating team culture.,Data Engineer,"$100,000-$120,000 + Super + 5% Bonus",AC3 Pty Limited,Sydney NSW,Information & Communication Technology,21h ago
12,Based in North Sydney. Designing large-scale experimentations on data across business silos. WFH opportunities.,Senior Data Scientist,NA,Laing O'Rourke Australia Construction Pty Limited,North Sydney,Information & Communication Technology,20h ago
13,Lead - Machine Learning - Impactful role with a global end-user.,Machine Learning Lead,"$180,000 - $200,000",Alloc8,Sydney NSW,Information & Communication Technology,16d ago
14,"Looking for a role where your input is valued,  good $$ and you get to build end-to-end data science solutions in Databricks & Azure?",Senior Data Scientist - Macquarie Park/WfH,Base + super  + 14% bonus,Talent Insights Group Pty Ltd,Macquarie Park,Science & Technology,2d ago
15,"Developing and managing ML/AI systems. Experience on modern cloud-based architectures and APIs using Python, SQL, Data Engineer.",Senior AI Systems Engineer,NA,Pearson Australia,Sydney NSW,Information & Communication Technology,7d ago
16,"CORRELATE RESOURCES : Your trusted Data Analytics Recruitment Partner. APPLY NOW for exclusive opportunities, market insights & ongoing career support",Data Scientist,$110-$130 + Super + Bonus,Correlate Resources,Sydney NSW,Science & Technology,8d ago
17,"Part of a mature team, the Machine Learning Engineer will be responsible for design, development and implementation of ML pipelines",Machine Learning Engineer,Attractive Salary Package + Benefits,Robert Walters,North Sydney,Information & Communication Technology,14d ago
18,"Liaise with critical internal & external stakeholders to provide insights, recommendations, and solutions to complex data problems.",Data Scientist - Life and Investments,NA,Zurich Financial Services Australia,North Shore & Northern Beaches,Information & Communication Technology,2d ago
19,Opportunity with a Nationally known brand - State of art technology - WFH ability,Machine Learning Engineer,NA,Intelligen Pty Ltd,Sydney NSW,Information & Communication Technology,21d ago
20,The successful candidate will be responsible for improving the existing statistical & ML models as well as developing novel analytical solutions.,Data Scientist,NA,Bet Technology,Sydney NSW,Science & Technology,13d ago
21,"Data Engineer Data Platforms Sydney Based, Permanent Role",Data Engineer,NA,Westpac Group,Sydney NSW,Information & Communication Technology,2d ago
22,Leading Aussie Bank is looking for experienced data engineers to play a key role in their innovative Data Platform!,Data Engineers - Big Data,NA,The Argyle Network,Sydney NSW,Information & Communication Technology,2d ago
23,Flexible working practices; opportunity to work fully remotely or from home or hybrid model. Growing Analytics and Data Science team.,Data Scientist,$140k - $150k p.a. + super,Bluefin Resources Pty Limited,Sydney NSW,Banking & Financial Services,14d ago
24,"Design, maintain and optimise Market Data Links crucial to the success of all Trading desks in a highly desirable High Frequency Trading Firm.",Data Engineer - Python (High Frequency Trading),"$180,000 - $300,000",Westbury Partners,Sydney NSW,Information & Communication Technology,2d ago
25,"Data Scientist in our Knowledge Graph squad that focuses on transforming marketplace data into rich, meaningful and connected assets and insights.",Data Scientist (Knowledge Graph),Base + Super + Bonus,SEEK Limited,Sydney NSW,Science & Technology,15d ago
26,"Engineer- Big Data Technologies Data Platforms Sydney Based, Permanent Role",Engineer- Big Data Technologies,NA,Westpac Group,Sydney NSW,Information & Communication Technology,2d ago
27,ASIC is seeking a full time Senior Data Engineer to join their IT Team,Senior Data Engineer,NA,ASIC,Parliament House,Government & Defence,5d ago
28,"Principle Data Scientist - Global Finance Company 
Provide technical leadership in the field of big data and data science while managing a DS team!",Principle Data Scientist,"$190,000.00 - $205,000.00 p.a. + incl super + bonus",Bluefin Resources Pty Limited,Sydney NSW,Banking & Financial Services,13d ago
29,"Working to deliver the best client solutions. We enable you to succeed with access to top tech, amazing mentors and colleagues.",Data Engineer,NA,Versent Pty Ltd,Sydney NSW,Information & Communication Technology,6d ago
30,Join a tech-first and award-winning tech solution as a Senior Data Engineer to help architect and build a greenfield cloud data platform.,Senior Data Engineer,"$150,000 - $180,000 + Bonus",SustainAbility Consulting,Sydney NSW,Information & Communication Technology,13h ago
31,"High profile consulting firm;  banking and financial services clients
market leading bonus up to 25%, flexible hybrid working model, study support",Data Scientist,$120k - $130k p.a. + super + bonus + benefits,Bluefin Resources Pty Limited,Sydney NSW,Banking & Financial Services,14d ago
32,Principal Data Consultant | Permanent Position | Sydney Based,Principal Data Consultant,"$170,000 - $186,000 (Incl. Super)",PRA,Sydney NSW,Information & Communication Technology,15h ago
33,Opportunity to deliver a large-scale data transformation for one of our major banking clients.,Principal Data Engineer - Data & Analytics,NA,The Argyle Network,Sydney NSW,Information & Communication Technology,6d ago
34,Permanent opportunity with a data science company working in the health sector,Analytics Engineer,NA,NewyTechPeople,Sydney NSW,Information & Communication Technology,6d ago
35,Are you a Data Scientist with a passion for data science? Join our team of specialists at Catapult BI.,Data Scientist,NA,CatapultBI,Sydney NSW,Information & Communication Technology,12d ago
36,Work with an ever growing organization who are working with a wide range of customers delivering cutting edge solutions across Data & Engineering,Senior Data Engineer,"$180,000k - $200,000k p.a. + Super + Bonus",Precision Sourcing,Sydney NSW,Information & Communication Technology,17h ago
37,ASIC is seeking a full time Senior Data Engineer to join their IT Team,Senior Data Engineer,NA,ASIC,Parliament House,Information & Communication Technology,5d ago
38,This is a perfect time for a Data Engineer to  join as this large organisation  transitions to GCP Cloud Services. Permanent role at North West.,Data Engineer,NA,Talent Insights Group Pty Ltd,Sydney NSW,Information & Communication Technology,6d ago
39,"You will be responsible for creating, expanding and optimising the data pipelines and working closely with the Front-End Developers to deliver data.",Data Engineer,"$103,500 - $122,700 (including superannuation)",Aldi Stores,Minchinbury,Information & Communication Technology,2d ago
40,"Picture this… you, working on software that transforms images of the world into actionable insights. Cool right? Click for more.",Machine Learning Engineer,"$120,000 - $140,000 + Bonus",The Onset,Sydney NSW,Information & Communication Technology,21h ago
41,Leading Aussie Bank is looking for experienced data engineers to play a key role in their innovative Data Platform!,Data Engineers - Big Data,NA,The Argyle Network,Sydney NSW,Information & Communication Technology,2d ago
42,"Data Scientist in our Knowledge Graph squad that focuses on transforming marketplace data into rich, meaningful and connected assets and insights.",Data Scientist (Knowledge Graph),Base + Super + Bonus,SEEK Limited,Sydney NSW,Science & Technology,15d ago
43,Opportunity to deliver a large-scale data transformation for one of our major banking clients.,Principal Data Engineer - Data & Analytics,NA,The Argyle Network,Sydney NSW,Information & Communication Technology,6d ago
44,"Data Scientist role in our Recommendations Squad, working on multiple new and exciting projects, helping millions of people find their perfect job",Data Scientist (AIPS - Recs),Base + Super + Bonus,SEEK Limited,Sydney NSW,Science & Technology,16d ago
45,.,Data Engineer,NA,EY,Sydney NSW,Consulting & Strategy,7d ago
46,We have an opportunity for a Junior Machine Learning Engineer to join the team at our Sydney office.,Junior Machine Learning Engineer,NA,Stockland,Sydney NSW,Information & Communication Technology,6d ago
